name,gender,state,party,twitter,title
Donald Trump,M,NY,Republican,realDonaldTrump,President
Mike Pence,M,IN,Republican,VP,Vice President
Mike Pompeo,M,KS,Republican,SecPompeo,Secretary of State
Bill Barr,M,,Republican,,Attorney General
Gina Haspel,F,,,,Director of the Central Intelligence Agency (CIA)
Mark Esper,M,,Republican,,Secretary of Defense
Wilbur Ross,M,,Republican,SecretaryRoss,Secretary of Commerce
Betsy DeVos,F,,Republican,BetsyDeVosED,Secretary of Education
Dan Brouillette,M,,Republican,SecBrouillette,Secretary of Energy
Sonny Perdue,M,,Republican,SecretarySonny,Secretary of Agriculture
Andrew Wheeler,M,,Republican,EPAAWheeler,Administrator of the Environmental Protection Agency (EPA)
Alex Azar,M,,Republican,SecAzar,Secretary of Health and Human Services
Ben Carson,M,,Republican,SecretaryCarson,Secretary of Housing and Urban Development
David Bernhardt,M,,Republican,SecBernhardt,Secretary of the Interior
Eugene Scalia,M,,Republican,SecGeneScalia,Secretary of Labor
Elaine Chao,F,,Republican,SecElaineChao,Secretary of Transportation
Steven Mnuchin,M,,Republican,stevenmnuchin1,Secretary of Treasury
Robert Wilkie,M,,Republican,SecWilkie,Secretary of Veterans Affairs
Robert Lighthizer,M,,Republican,,U.S. Trade Representative
Jovita Carranza,F,,Republican,SBAJovita,Administrator of the Small Business Administration
Chad Wolf,M,,Republican,DHS_Wolf,Acting Secretary of Homeland Security
Russ Vought,M,,Republican,RussVought45,Acting Director of the Office of Management and Budget
Richard A. Grenell,M,,Republican,,Acting Director of National Intelligence
Mick Mulvaney,M,,Republican,MickMulvaneyOMB,Acting White House Chief of Staff